Longitude Latitude "negative depth"
-150.9743  61.8097  -62.2700
-152.2277  59.9503  -73.6400
-151.0933  59.9462  -55.8700
-150.7872  62.3223  -75.7600
-150.8513  61.4785  -48.1500
-149.1579  62.9541  -73.3900
-149.6247  63.0565  -86.1300
-151.1452  61.8283  -60.7900
-152.0627  59.2462  -49.4700
-149.6561  61.6448  -33.9800
-150.4108  63.2436 -132.6000
-151.1865  62.3128  -89.4700
-150.5301  63.2250 -137.2100
-149.3563  63.0549  -86.8300
-153.6232  59.9564 -158.6500
-151.4849  62.3948  -95.5900
-151.0480  62.3479  -95.1200
-149.7133  63.1079  -97.6100
-148.8422  63.8968 -124.8900
-153.1428  59.9347 -117.6600
-152.6167  60.0353  -94.3400
-149.3683  62.4684  -59.6000
-151.8705  60.2274  -65.4700
-150.0048  61.6942  -44.3400
-154.6400  58.8275 -135.6500
-148.8515  62.0933  -42.1100
-150.5584  63.0874 -126.8300
-151.7549  60.6022  -71.1500
-151.5027  59.9617  -56.9400
-153.4211  60.0589 -155.3300
-150.7359  61.8070  -52.5000
-151.4725  60.9934  -68.7000
-150.2048  61.8660  -44.6600
-152.8877  59.5324  -90.5600
-151.2187  62.5105  -95.9100
-146.3158  61.5665  -40.2500
-151.0084  62.4931  -92.7900
-152.8405  59.7296  -87.2800
-149.8121  63.6121 -146.3200
-148.8041  62.7144  -56.5300
-152.8172  60.0246  -98.5200
-150.7231  63.1115 -134.3800
-152.1206  60.0885  -73.0700
-150.9593  60.1819  -61.5200
-150.4236  63.2401 -134.8200
-151.5546  61.9367  -79.0600
-151.6188  59.6778  -47.2400
-153.3187  59.8251 -126.3100
-153.0585  60.1824 -116.6500
-153.6683  60.0112 -156.6300
-152.6860  59.4256  -74.5500
-152.3240  60.3122  -81.1400
-150.6180  63.1640 -133.3600
-149.9898  61.0567  -40.8700
-149.7548  63.2746 -104.2600
-148.7151  62.8388  -68.6500
-153.2483  58.6308  -58.4300
-152.7971  59.4695  -91.3300
-150.3154  61.5882  -46.9000
-151.1735  62.5291  -94.9600
-152.7281  59.9183  -97.0900
-149.3765  62.2977  -55.4000
-151.2408  62.0849  -95.5600
-149.7598  61.4803  -58.2900
-152.7588  59.7075  -89.3300
-148.7790  62.8029  -67.3900
-152.8660  60.0180  -88.5100
-153.0069  59.5747  -96.2300
-152.9164  60.2628 -116.5600
-151.3962  61.5594  -80.3200
-149.2630  63.8034 -122.5700
-150.3084  63.1618 -122.3400
-152.3338  59.6555  -64.7600
-148.6239  62.9959  -64.2700
-151.4423  61.2486  -74.7200
-153.7780  59.7229 -140.9500
-150.0068  61.6436  -40.7800
-151.0159  62.9409 -119.9300
-153.4458  59.7700 -121.8400
-151.6729  61.3875  -86.0500
-152.9647  60.1325 -113.6100
-149.9869  60.3057  -52.1300
-151.8935  60.1702  -55.8900
-150.6231  62.2178  -72.8500
-152.1163  60.4838  -73.2700
-153.0863  59.1108  -73.1700
-155.7054  58.4198 -148.0600
-149.1600  63.7831 -119.9800
-151.0560  62.8411 -116.3500
-150.3340  63.0291 -108.3800
-151.8428  60.6760  -77.2800
-152.8882  58.9795  -62.7100
-153.3366  59.7775 -118.3800
-153.0077  60.1744 -114.2100
-150.2320  61.7530  -43.2300
-153.5477  59.7287 -132.2300
-152.9307  60.0871 -106.0800
-150.8529  63.1007 -140.8200
-152.0093  59.3594  -66.1900
-151.5912  59.6414  -51.6300
-152.4465  59.5799  -66.2500
-153.0938  60.1399 -122.5100
-153.2520  60.2030 -147.5100
-150.4750  62.8767  -95.4900
-150.2336  60.7508  -36.3100
-149.6391  63.1139  -96.2900
-150.0979  62.2557  -62.4800
-153.4108  59.8392 -131.4200
-150.5106  63.1270 -124.6000
-152.5944  58.9448  -53.6000
-153.0066  59.3991  -90.1300
-152.8744  60.1191  -94.4500
-149.2018  63.6983 -118.6000
-151.9988  61.4856  -99.7200
-149.4420  63.0074  -81.1100
-152.0927  60.0120  -85.0400
-152.9485  59.9591 -104.4800
-151.6743  60.6806  -66.0700
-150.8677  61.6541  -54.9400
-148.9145  63.8228 -112.7900
-149.3507  62.7564  -70.8000
-152.8800  59.4108  -75.1500
-153.3781  60.1842 -137.8900
-153.9859  58.2529  -72.0600
-150.5053  62.7380  -94.2400
-150.6487  62.1731  -77.3800
-150.3028  63.1227 -126.1900
-146.4905  61.6171  -35.6200
-151.3274  60.1398  -58.1200
-150.9017  62.9255 -115.1100
-151.1535  62.2912  -83.2500
-150.8094  62.4767  -84.1300
-151.3355  62.3960  -95.2900
-150.3059  63.0690 -114.8000
-150.1049  62.0898  -54.2500
-150.2740  62.1090  -53.1100
-152.8806  60.0616  -92.0200
-153.3055  60.1270 -142.3600
-153.7597  60.3055 -195.6600
-150.0660  61.9477  -43.8300
-149.9663  61.9242  -31.0100
-151.6406  60.2497  -56.0900
-149.0892  62.6258  -64.8200
-149.8099  63.6005 -149.4100
-153.2746  60.0497 -118.2200
-153.2919  60.0924 -127.8100
-149.2958  62.8187  -70.8800
-148.6755  63.8252 -118.1000
-151.0322  62.6012  -93.2900
-150.4871  62.9097 -111.7100
-148.1036  64.0031 -110.9400
-152.9981  58.9673  -63.5100
-147.6516  63.4021  -80.5300
-151.0198  60.2724  -55.3700
-150.6535  61.8988  -59.9900
-150.1707  62.8524  -86.9500
-153.0945  60.1431 -118.2300
-150.4705  60.7008  -39.6500
-150.5275  63.0606 -122.3600
-150.9386  61.2430  -55.9400
-149.7079  61.7283  -38.1500
-152.7650  59.8946  -85.5000
-150.1605  62.7349  -83.5400
-153.2128  59.9572 -125.0700
-153.3811  59.7898 -115.9500
-151.0736  62.9399 -136.8900
-152.7262  59.0352  -64.4600
-150.4230  62.8257  -94.7800
-151.2711  62.9012 -133.7500
-151.8515  59.6657  -51.0100
-152.8121  60.1302  -98.0000
-149.7223  61.7306  -39.4800
-153.6136  60.0974 -155.0900
-150.8024  60.9171  -44.6800
-153.6980  59.7949 -139.3200
-152.9023  60.0594 -105.9300
-151.8627  60.2226  -61.0700
-152.8240  60.0701  -97.5900
-150.7302  63.0930 -135.1700
-150.9779  62.8937 -117.4500
-150.5370  63.1807 -137.8700
-149.6064  63.5944 -126.9900
-153.1071  59.6754 -104.0600
-152.5180  59.7673  -81.9000
-150.4224  59.8795  -48.7900
-152.3454  60.2906  -91.2000
-146.3605  61.6739  -46.4900
-152.1798  58.9460  -55.1400
-150.8632  60.4492  -63.1700
-153.2380  59.7895 -105.5100
-152.3266  60.4068  -81.7600
-152.1796  59.9695  -67.7400
-150.5322  62.9962 -117.9400
-150.4668  63.1973 -131.5700
-151.2407  62.4965  -92.1900
-149.6967  63.1742 -101.5000
-152.7785  59.7276  -93.6300
-151.7875  61.2684  -89.2900
-152.7053  59.4954  -86.5700
-151.1868  62.3027  -90.2900
-153.0960  59.6773 -100.4900
-152.9523  60.0293 -102.2000
-151.1862  62.4961  -95.5400
-153.4385  59.9380 -134.6700
-152.2689  59.8741  -80.8500
-152.8604  59.5869 -104.6300
-153.1915  60.0163 -124.0200
-152.6582  60.0991  -90.1200
-153.1423  60.1300 -122.7500
-153.2414  60.0401 -125.3700
-152.9190  60.0820  -98.4500
-153.0953  60.0331 -106.8000
-149.2641  63.0374  -89.0900
-151.8613  59.9096  -72.4300
-153.0109  60.0939 -117.9000
-152.3635  59.6081  -69.8400
-152.9885  59.7530  -94.7800
-153.0192  59.7923 -107.1300
-152.2213  59.4210  -55.6200
-152.4897  60.5645  -95.8100
-153.2993  60.1161 -135.0000
-151.1070  62.9493 -126.3800
-152.6025  60.0975  -92.1400
-150.5936  63.1526 -123.1700
-152.2660  60.3911 -104.5800
-152.2705  60.1841  -76.1700
-150.8731  60.3247  -58.7800
-152.6387  59.4574  -81.6600
-152.1794  61.8778 -117.7300
-149.7802  61.9725  -55.3900
-151.0220  62.1380  -79.6600
-150.9351  60.9858  -54.6000
-152.9948  60.2433 -110.4300
-152.5500  59.1048  -66.2300
-153.4371  59.9789 -133.1200
-149.8549  61.8423  -40.5100
-149.8331  62.9822  -90.9200
-153.2400  60.1924 -135.9200
-150.8385  59.8387  -54.2900
-151.2507  62.8883 -115.6100
-152.6394  59.7936  -80.6600
-151.4006  60.8499  -65.7200
-149.1030  63.5022  -93.8100
-150.8659  63.0025 -131.8900
-152.7327  59.1353  -62.3200
-149.9023  61.5477  -37.2200
-149.8010  61.7814  -47.2300
-146.3070  61.6354  -43.3300
