"longitude" "latitude" "negative depth"
-136.7500  58.5917 -10.7
-136.7330  58.5833 -10.7
-136.7330  58.5750 -10.4
-136.7330  58.5667 -10.1
-136.7330  58.5583  -9.8
-136.7330  58.5500  -9.5
-136.7170  58.5417  -9.4
-136.7170  58.5333  -9.1
-136.7170  58.5250  -8.8
-136.7170  58.5167  -8.5
-136.7170  58.5083  -8.2
-136.7000  58.5000  -8.2
-136.7000  58.4917  -7.9
-136.7000  58.4833  -7.6
-136.7000  58.4750  -7.3
-136.7000  58.4667  -7.1
-136.6830  58.4583  -7.0
-136.6830  58.4500  -6.7
-136.6830  58.4417  -6.5
-136.6830  58.4333  -6.2
-136.6670  58.4250  -6.1
-136.6670  58.4167  -5.9
-136.6670  58.4083  -5.6
-136.6670  58.4000  -5.3
-136.6670  58.3917  -5.1
-136.6500  58.3833  -5.0
-136.6500  58.3750  -4.8
-136.6500  58.3667  -4.5
-136.6500  58.3583  -4.3
-136.6500  58.3500  -4.0
-136.6330  58.3417  -4.0
-136.6330  58.3333  -3.7
-136.6330  58.3250  -3.5
-136.6330  58.3167  -3.2
-136.6330  58.3083  -3.0
-136.6170  58.3000  -3.0
-136.6170  58.2917  -2.7
-136.6170  58.2833  -2.5
-136.6170  58.2750  -2.3
-136.6170  58.2667  -2.0
-136.6000  58.2583  -2.0
-136.6000  58.2500  -1.8
-136.6000  58.2417  -1.6
-136.6000  58.2333  -1.4
-136.6000  58.2250  -1.2
-136.5830  58.2167  -1.2
-136.5830  58.2083  -1.0
-136.5830  58.2000  -0.8
-136.5830  58.1917  -0.6
-136.5830  58.1833  -0.4
-136.5670  58.1750  -0.4
-136.5670  58.1667  -0.2
