"Date" "Time" "Latitude" "Longitude" "Depth" "Magnitude" "MagType" "NbStations" "Gap" "Distance" "RMS" "Source" "EventID"
"1951/02/13" "22:12:57.00" "56.0000" "-156.0000" "25.00" "7.10" "ML" "0" "" "" "" "AK" ""
"1952/07/21" "11:52:14.54" "34.9582" "-118.9980" "6.00" "7.50" "Mw" "12" "" "" "0.39" "CI" "33194"
"1953/01/05" "07:48:20.00" "53.0000" "171.5000" "0.00" "7.10" "ML" "0" "" "" "" "AK" ""
"1954/12/16" "11:07:13.00" "39.3200" "-118.2000" "" "7.20" "ML" "" "" "" "" "BK" ""
"1954/12/16" "11:11:29.00" "39.5000" "-118.0000" "" "7.10" "ML" "" "" "" "" "BK" ""
"1957/03/09" "14:22:32.15" "51.4700" "-175.7200" "33.00" "8.60" "ML" "0" "" "" "" "AK" ""
"1957/03/11" "09:58:44.00" "52.5800" "-169.2300" "33.00" "7.00" "ML" "0" "" "" "" "AK" ""
"1957/03/11" "14:55:25.84" "51.4100" "-178.5400" "33.00" "7.10" "ML" "0" "" "" "" "AK" ""
"1957/03/12" "11:44:56.96" "51.4300" "-177.4000" "33.00" "7.30" "ML" "0" "" "" "" "AK" ""
"1957/03/14" "14:47:50.97" "51.2400" "-176.9100" "33.00" "7.20" "ML" "0" "" "" "" "AK" ""
"1957/03/16" "02:34:17.86" "51.4000" "-178.9300" "33.00" "7.00" "ML" "0" "" "" "" "AK" ""
"1957/03/22" "14:21:07.10" "53.7000" "-165.8100" "33.00" "7.00" "ML" "0" "" "" "" "AK" ""
"1957/04/10" "11:30:00.00" "55.9600" "-153.8600" "0.00" "7.10" "ML" "0" "" "" "" "AK" ""
"1958/04/07" "15:30:40.00" "66.0300" "-156.5898" "0.00" "7.30" "ML" "0" "" "" "" "AK" ""
"1958/07/10" "06:15:56.00" "58.3600" "-136.3400" "0.00" "7.90" "ML" "0" "" "" "" "AK" ""
"1961/08/11" "15:51:34.60" "43.0000" "145.0000" "50.00" "7.00" "Unk" "0" "" "" "0.00" "NEI" "1961081140"
"1961/11/15" "07:17:12.40" "43.1000" "145.1000" "43.00" "7.00" "Unk" "0" "" "" "0.00" "NEI" "1961111540"
"1962/04/12" "00:52:44.80" "38.2000" "142.3000" "48.00" "7.00" "Mb" "20" "" "" "0.00" "NEI" "1962041240"
"1962/04/23" "05:58:04.90" "42.9000" "143.4000" "25.00" "7.00" "Mb" "16" "" "" "0.00" "NEI" "1962042340"
"1962/05/21" "12:02:50.60" "37.3000" "96.0000" "25.00" "7.20" "Mb" "16" "" "" "0.00" "NEI" "1962052140"
"1963/02/26" "20:14:07.00" "-7.5000" "146.1000" "156.00" "7.38" "Unk" "81" "" "" "0.00" "NEI" "1963022640"
"1963/03/16" "08:44:51.10" "46.6000" "154.8000" "46.00" "7.00" "Unk" "102" "" "" "0.00" "NEI" "1963031640"
"1963/03/26" "13:25:01.20" "-29.9000" "-178.0000" "40.00" "7.25" "Unk" "47" "" "" "0.00" "NEI" "1963032640"
"1963/03/28" "00:15:51.40" "66.1000" "-20.1000" "33.00" "7.13" "Unk" "109" "" "" "0.00" "NEI" "1963032840"
"1963/04/19" "07:35:22.70" "35.7000" "96.9000" "33.00" "7.00" "Unk" "76" "" "" "0.00" "NEI" "1963041940"
"1963/05/01" "10:03:20.20" "-19.0000" "168.9000" "142.00" "7.00" "Unk" "66" "" "" "0.00" "NEI" "1963050140"
"1963/08/15" "17:25:05.90" "-13.8000" "-69.3000" "543.00" "7.75" "Unk" "52" "" "" "0.00" "NEI" "1963081540"
"1963/09/15" "00:46:54.10" "-10.3000" "165.6000" "43.00" "7.38" "Unk" "47" "" "" "0.00" "NEI" "1963091540"
"1963/09/17" "19:20:08.20" "-10.1000" "165.3000" "17.00" "7.25" "Unk" "49" "" "" "0.00" "NEI" "1963091740"
"1963/10/13" "05:17:57.10" "44.8000" "149.5000" "60.00" "8.25" "Unk" "75" "" "" "0.00" "NEI" "1963101340"
"1963/12/18" "00:30:02.60" "-24.8000" "-176.6000" "46.00" "7.38" "Unk" "72" "" "" "0.00" "NEI" "1963121840"
"1964/02/06" "13:07:23.10" "55.7200" "-155.9500" "13.00" "7.10" "ML" "0" "" "" "" "AK" ""
"1964/03/21" "03:42:19.60" "-6.4000" "127.9000" "367.00" "7.00" "Unk" "23" "" "" "0.00" "NEI" "1964032140"
"1964/03/28" "03:36:13.90" "61.0500" "-147.4800" "23.00" "8.50" "ML" "0" "" "" "" "AK" ""
"1964/05/07" "07:58:14.30" "40.4000" "139.0000" "33.00" "7.00" "Unk" "92" "" "" "0.00" "NEI" "1964050740"
"1964/06/16" "04:01:44.30" "38.3000" "139.1000" "57.00" "7.38" "Unk" "99" "" "" "0.00" "NEI" "1964061640"
"1964/06/23" "01:26:37.00" "43.3000" "146.1000" "77.00" "7.00" "Unk" "114" "" "" "0.00" "NEI" "1964062340"
"1964/07/09" "16:39:49.30" "-15.5000" "167.6000" "121.00" "7.25" "Unk" "64" "" "" "0.00" "NEI" "1964070940"
"1964/09/12" "22:07:03.20" "-49.1000" "164.2000" "33.00" "7.25" "Unk" "26" "" "" "0.00" "NEI" "1964091240"
"1964/11/17" "08:15:39.30" "-5.7000" "150.7000" "45.00" "7.25" "Unk" "44" "" "" "0.00" "NEI" "1964111740"
"1965/02/04" "04:53:57.70" "51.1000" "178.4000" "40.00" "7.75" "Unk" "37" "" "" "0.00" "NEI" "1965020440"
"1965/02/23" "22:11:50.20" "-25.7000" "-70.5000" "80.00" "7.00" "Unk" "72" "" "" "0.00" "NEI" "1965022340"
"1965/03/14" "15:53:06.60" "36.3000" "70.7000" "219.00" "7.50" "Unk" "54" "" "" "0.00" "NEI" "1965031440"
"1965/03/28" "16:33:14.60" "-32.4000" "-71.2000" "61.00" "7.13" "Unk" "16" "" "" "0.00" "NEI" "1965032840"
"1965/03/30" "02:27:07.20" "50.6000" "177.9000" "51.00" "7.30" "Mb" "26" "" "" "0.00" "NEI" "1965033040"
"1965/08/02" "13:19:55.90" "-56.2000" "157.9000" "33.00" "7.13" "Unk" "47" "" "" "0.00" "NEI" "1965080240"
"1965/08/11" "03:10:05.20" "-15.4000" "166.9000" "24.00" "7.00" "Unk" "25" "" "" "0.00" "NEI" "1965081140"
"1965/08/23" "19:46:01.80" "16.3000" "-95.8000" "20.00" "7.25" "Unk" "136" "" "" "0.00" "NEI" "1965082340"
"1965/09/04" "14:32:50.20" "58.2900" "-152.5000" "30.00" "7.10" "ML" "0" "" "" "" "AK" ""
"1966/02/15" "17:40:34.70" "-19.9000" "168.9000" "27.00" "7.10" "Mb" "5" "" "" "0.00" "NEI" "1966021540"
"1966/03/12" "16:31:20.60" "24.2000" "122.6000" "48.00" "7.63" "Unk" "169" "" "" "0.00" "NEI" "1966031240"
"1966/12/28" "08:18:06.10" "-25.5000" "-70.7000" "32.00" "7.75" "Unk" "181" "" "" "0.00" "NEI" "1966122840"
"1966/12/31" "18:23:06.60" "-11.9000" "166.4000" "56.00" "7.50" "Unk" "121" "" "" "0.00" "NEI" "1966123140"
"1968/05/16" "00:48:55.40" "40.8400" "143.2220" "7.00" "7.90" "Ms" "115" "" "" "0.00" "NEI" "1968051640"
"1968/05/20" "20:05:49.10" "-30.7220" "-178.3920" "46.00" "7.00" "Ms" "92" "" "" "0.00" "NEI" "1968052040"
"1968/05/23" "17:24:15.70" "-41.6660" "171.9220" "21.00" "7.10" "Ms" "54" "" "" "0.00" "NEI" "1968052340"
"1968/06/12" "13:41:50.70" "39.4850" "142.7370" "44.00" "7.00" "Ms" "102" "" "" "0.00" "NEI" "1968061240"
"1968/08/01" "20:19:21.90" "16.5220" "122.2010" "37.00" "7.30" "Ms" "114" "" "" "0.00" "NEI" "1968080140"
"1968/08/02" "14:06:43.90" "16.5880" "-97.6960" "40.00" "7.10" "Ms" "76" "" "" "0.00" "NEI" "1968080240"
"1968/08/10" "02:07:04.30" "1.4230" "126.2220" "33.00" "7.60" "Ms" "67" "" "" "0.00" "NEI" "1968081040"
"1968/08/14" "22:14:19.40" "0.1630" "119.7850" "23.00" "7.40" "Ms" "80" "" "" "0.00" "NEI" "1968081440"
"1968/08/31" "10:47:37.40" "33.9690" "59.0220" "13.00" "7.30" "Ms" "56" "" "" "0.00" "NEI" "1968083140"
"1968/10/29" "22:16:18.40" "65.4000" "-150.0000" "30.00" "7.10" "ML" "0" "" "" "" "AK" ""
"1969/01/05" "13:26:39.90" "-7.9750" "158.9090" "47.00" "7.10" "Ms" "95" "" "" "0.00" "NEI" "1969010540"
"1969/02/28" "02:40:32.50" "36.0080" "-10.5730" "22.00" "8.00" "Ms" "188" "" "" "0.00" "NEI" "1969022840"
"1969/05/14" "19:32:55.00" "51.2900" "-179.8500" "22.00" "7.00" "ML" "0" "" "" "" "AK" ""
"1969/07/18" "05:24:48.00" "38.3030" "119.4490" "33.00" "7.30" "Ms" "178" "" "" "0.00" "NEI" "1969071840"
"1969/08/05" "02:13:09.60" "1.2960" "126.1960" "34.00" "7.00" "Ms" "86" "" "" "0.00" "NEI" "1969080540"
"1969/08/11" "21:27:39.40" "43.5450" "147.3530" "28.00" "7.80" "Ms" "22" "" "" "0.00" "NEI" "1969081140"
"1969/08/11" "23:52:56.90" "1.7260" "126.4700" "34.00" "7.00" "Ms" "68" "" "" "0.00" "NEI" "1969081140"
"1969/11/21" "02:05:35.30" "2.0650" "94.6400" "20.00" "7.70" "Ms" "215" "" "" "0.00" "NEI" "1969112140"
"1969/11/22" "23:09:37.20" "57.7600" "163.5410" "33.00" "7.30" "Ms" "231" "" "" "0.00" "NEI" "1969112240"
"1970/01/04" "17:00:40.20" "24.1390" "102.5030" "31.00" "7.50" "Ms" "90" "" "" "0.00" "NEI" "1970010440"
"1970/03/28" "21:02:23.40" "39.1820" "29.4880" "20.00" "7.10" "Ms" "199" "" "" "0.00" "NEI" "1970032840"
"1970/04/07" "05:34:05.60" "15.7610" "121.7170" "37.00" "7.30" "Ms" "161" "" "" "0.00" "NEI" "1970040740"
"1970/04/12" "04:01:44.00" "15.0640" "122.0520" "24.00" "7.00" "Ms" "108" "" "" "0.00" "NEI" "1970041240"
"1970/04/29" "14:01:32.80" "14.5180" "-92.6030" "33.00" "7.30" "Ms" "76" "" "" "0.00" "NEI" "1970042940"
"1970/05/31" "20:23:27.30" "-9.1760" "-78.8230" "43.00" "7.80" "Ms" "101" "" "" "0.00" "NEI" "1970053140"
"1970/06/11" "16:46:38.30" "-59.1130" "157.7670" "33.00" "7.20" "Ms" "27" "" "" "0.00" "NEI" "1970061140"
"1970/06/15" "11:14:52.40" "-54.3360" "-63.6450" "33.00" "7.00" "Ms" "66" "" "" "0.00" "NEI" "1970061540"
"1970/06/24" "13:09:08.30" "51.7530" "-131.0240" "12.00" "7.00" "Ms" "81" "" "" "0.00" "NEI" "1970062440"
"1970/07/25" "22:41:10.70" "32.1800" "131.6950" "34.00" "7.00" "Ms" "176" "" "" "0.00" "NEI" "1970072540"
"1970/07/31" "17:08:05.40" "-1.4590" "-72.5580" "651.00" "7.10" "Mb" "205" "" "" "0.00" "NEI" "1970073140"
"1970/08/11" "10:22:20.00" "-14.1230" "166.6500" "33.00" "7.00" "Ms" "55" "" "" "0.00" "NEI" "1970081140"
"1970/10/31" "17:53:09.30" "-4.9260" "145.4670" "42.00" "7.00" "Ms" "100" "" "" "0.00" "NEI" "1970103140"
"1970/12/02" "15:54:19.90" "-10.9660" "163.2900" "33.00" "7.00" "Ms" "62" "" "" "0.00" "NEI" "1970120240"
"1970/12/10" "04:34:38.80" "-3.9890" "-80.7240" "25.00" "7.60" "Ms" "130" "" "" "0.00" "NEI" "1970121040"
"1971/01/03" "17:35:40.20" "-55.5030" "-2.5780" "33.00" "7.10" "Ms" "34" "" "" "0.00" "NEI" "1971010340"
"1971/01/10" "07:17:03.70" "-3.1320" "139.6970" "33.00" "8.10" "Ms" "113" "" "" "0.00" "NEI" "1971011040"
"1971/02/04" "15:33:28.60" "0.6470" "98.8380" "33.00" "7.10" "Ms" "120" "" "" "0.00" "NEI" "1971020440"
"1971/02/08" "21:04:21.80" "-63.4530" "-61.2150" "33.00" "7.00" "Ms" "54" "" "" "0.00" "NEI" "1971020840"
"1971/05/02" "06:08:27.30" "51.4330" "-177.2130" "43.00" "7.10" "Ms" "204" "" "" "0.00" "NEI" "1971050240"
"1971/07/14" "06:11:29.10" "-5.4740" "153.8850" "47.00" "7.90" "Ms" "115" "" "" "0.00" "NEI" "1971071440"
"1971/07/19" "00:14:45.30" "-5.6880" "153.8000" "42.00" "7.10" "Ms" "102" "" "" "0.00" "NEI" "1971071940"
"1971/07/26" "01:23:21.30" "-4.9400" "153.1730" "48.00" "7.90" "Ms" "121" "" "" "0.00" "NEI" "1971072640"
"1971/08/05" "01:58:51.70" "-0.8530" "-22.1300" "33.00" "7.00" "Ms" "87" "" "" "0.00" "NEI" "1971080540"
"1971/09/05" "18:35:25.00" "46.5000" "141.1720" "9.00" "7.10" "Ms" "134" "" "" "0.00" "NEI" "1971090540"
"1971/10/27" "17:58:36.90" "-15.4980" "167.2200" "40.00" "7.10" "Ms" "115" "" "" "0.00" "NEI" "1971102740"
"1971/12/15" "08:29:55.30" "55.9960" "163.2950" "33.00" "7.80" "Ms" "200" "" "" "0.00" "NEI" "1971121540"
"1972/01/23" "21:17:52.10" "-13.1740" "166.3750" "33.00" "7.10" "Ms" "98" "" "" "0.00" "NEI" "1972012340"
"1972/01/25" "02:06:23.30" "22.4550" "122.2610" "33.00" "7.50" "Ms" "170" "" "" "0.00" "NEI" "1972012540"
"1972/01/25" "03:41:23.70" "23.0330" "122.1540" "33.00" "7.00" "Ms" "128" "" "" "0.00" "NEI" "1972012540"
"1972/04/25" "19:30:09.30" "13.3700" "120.3090" "50.00" "7.20" "Ms" "173" "" "" "0.00" "NEI" "1972042540"
"1972/07/30" "21:45:14.10" "56.8200" "-135.6850" "25.00" "7.60" "Ms" "103" "" "" "0.00" "NEI" "1972073040"
"1972/08/17" "23:44:05.90" "-5.9620" "152.9020" "10.00" "7.10" "Ms" "108" "" "" "0.00" "NEI" "1972081740"
"1972/11/02" "19:55:22.10" "-20.0490" "168.8390" "32.00" "7.00" "Ms" "85" "" "" "0.00" "NEI" "1972110240"
"1972/12/02" "00:19:47.20" "6.4730" "126.6010" "33.00" "7.40" "Ms" "141" "" "" "0.00" "NEI" "1972120240"
"1973/01/30" "21:01:12.50" "18.4810" "-102.9960" "43.00" "7.50" "Ms" "190" "" "" "0.00" "NEI" "1973013040"
"1973/02/06" "10:37:10.10" "31.3980" "100.5810" "33.00" "7.40" "Ms" "78" "" "" "0.00" "NEI" "1973020640"
"1973/02/28" "06:37:49.50" "50.4860" "156.5840" "27.00" "7.20" "Ms" "178" "" "" "0.00" "NEI" "1973022840"
"1973/03/17" "08:30:51.80" "13.3720" "122.7870" "33.00" "7.00" "Ms" "94" "" "" "0.00" "NEI" "1973031740"
"1973/06/17" "03:55:02.90" "43.2330" "145.7850" "48.00" "7.70" "Ms" "201" "" "" "0.00" "NEI" "1973061740"
"1973/06/24" "02:43:25.50" "43.3180" "146.4420" "50.00" "7.10" "Ms" "183" "" "" "0.00" "NEI" "1973062440"
"1973/10/06" "15:07:37.30" "-60.8230" "-21.5490" "33.00" "7.00" "Ms" "49" "" "" "0.00" "NEI" "1973100640"
